ID,Country,Organization,Certificate/Badge,Record Type,Category,Subcategory,Level,Price Status,Conditions,Exam/Assessment,Duration,Language,Available from Russia,Validity,Credly/Verification,LinkedIn,Official URL,Priority,Completion Status,Evidence Status,Last Reviewed,Source Page,Extraction Method,Confidence
AI-007,International,IBM SkillsBuild,Craft Precise Prompts for AI Models,credential,AI,Prompt engineering,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-005,International,IBM SkillsBuild,Generative AI Essentials: Using LLMs to Work with Data,credential,AI,GenAI/LLM,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-006,International,IBM SkillsBuild,Getting Started with Generative AI,credential,AI,GenAI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-008,International,IBM SkillsBuild,Intelligent by Design: Build an AI Agent,credential,AI,AI agents,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-009,International,IBM SkillsBuild,Make Agentic AI Work for You,credential,AI,Agentic AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-010,International,IBM SkillsBuild,Retrieval-Augmented Generation for Enhanced AI Outputs,credential,AI,RAG,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
SF-010,International,Salesforce Trailhead,Agentforce: Agent Planning,credential,AI,AI agents,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-018,International,Salesforce Trailhead,AI + Data: Project Planning,credential,AI,AI project planning,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-006,International,Salesforce Trailhead,AI Strategy,credential,AI,AI strategy,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-001,International,Salesforce Trailhead,Artificial Intelligence Fundamentals,credential,AI,AI fundamentals,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-020,International,Salesforce Trailhead,Commerce AI: Quick Look,credential,AI,Commerce AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-004,International,Salesforce Trailhead,Data Fundamentals for AI,credential,AI,AI data,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-002,International,Salesforce Trailhead,Generative AI Basics,credential,AI,GenAI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-009,International,Salesforce Trailhead,Introduction to Agentforce,credential,AI,AI agents,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-008,International,Salesforce Trailhead,Large Language Models,credential,AI,LLM,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-003,International,Salesforce Trailhead,Natural Language Processing Basics,credential,AI,NLP,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-005,International,Salesforce Trailhead,Prompt Fundamentals,credential,AI,Prompt engineering,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-007,International,Salesforce Trailhead,Responsible Creation of Artificial Intelligence,credential,AI,Responsible AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-019,International,Salesforce Trailhead,Sales AI: Quick Look,credential,AI,Sales AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
AI-019,International,IBM SkillsBuild,Cloud Computing Fundamentals,credential,Cloud,Cloud foundations,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
C-008,International,Cisco Networking Academy,Cyber Threat Management,credential,Cybersecurity,Threat management,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-005,International,Cisco Networking Academy,Cybersecurity Essentials,credential,Cybersecurity,Cyber fundamentals,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-006,International,Cisco Networking Academy,Endpoint Security,credential,Cybersecurity,Endpoint security,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-004,International,Cisco Networking Academy,Introduction to Cybersecurity,credential,Cybersecurity,Cyber basics,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-007,International,Cisco Networking Academy,Network Defense,credential,Cybersecurity,Network security,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-018,International,Cisco Networking Academy,Network Security,credential,Cybersecurity,Network security,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
AI-013,International,IBM SkillsBuild,Cybersecurity Fundamentals,credential,Cybersecurity,Cyber fundamentals,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-015,International,IBM SkillsBuild,Cybersecurity: On the Defense,credential,Cybersecurity,Blue team,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-014,International,IBM SkillsBuild,Getting Started with Cybersecurity,credential,Cybersecurity,Cyber fundamentals,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
SF-015,International,Salesforce Trailhead,Secure Client-Side Development,credential,Cybersecurity,AppSec,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-013,International,Salesforce Trailhead,Security Basics,credential,Cybersecurity,Security foundations,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-014,International,Salesforce Trailhead,User Authentication,credential,Cybersecurity,Identity/auth,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
H-012,International,HubSpot Academy,Reporting Certification,credential,Data,Analytics/reporting,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
AI-017,International,IBM SkillsBuild,Data Fundamentals,credential,Data,Data fundamentals,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-016,International,IBM SkillsBuild,Data Literacy,credential,Data,Data literacy,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
SF-017,International,Salesforce Trailhead,Data 360 Insights,credential,Data,Analytics,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-016,International,Salesforce Trailhead,Data Integrations,credential,Data,Integration,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
SF-012,International,Salesforce Trailhead,Environments for Salesforce Developers,credential,DevOps,Developer environments,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://trailhead.salesforce.com/,A,Не начато,Current-catalog signal,2026-08-31,https://trailhead.salesforce.com/,curated,candidate
C-014,International,Cisco Networking Academy,Exploring IoT with Packet Tracer,credential,Embedded,IoT simulation,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-012,International,Cisco Networking Academy,Introduction to IoT,credential,Embedded,IoT,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-013,International,Cisco Networking Academy,Introduction to IoT and Digital Transformation,credential,Embedded,IoT,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-019,International,Cisco Networking Academy,IoT Fundamentals,credential,Embedded,IoT,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-016,International,Cisco Networking Academy,English for IT 1,credential,IT,Technical English,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
C-017,International,Cisco Networking Academy,English for IT 2,credential,IT,Technical English,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://www.netacad.com/,A,Не начато,Current-catalog signal,2026-08-31,https://www.netacad.com/,curated,candidate
H-001,International,HubSpot Academy,Content Marketing Certification,credential,IT,Content marketing,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-008,International,HubSpot Academy,Digital Advertising Certification,credential,IT,AdTech,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-002,International,HubSpot Academy,Digital Marketing Certification,credential,IT,Digital marketing,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-006,International,HubSpot Academy,Email Marketing Certification,credential,IT,MarTech,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-003,International,HubSpot Academy,Inbound Certification,credential,IT,Inbound,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-004,International,HubSpot Academy,Inbound Marketing Certification,credential,IT,Inbound marketing,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-005,International,HubSpot Academy,Inbound Sales Certification,credential,IT,Sales technology,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-013,International,HubSpot Academy,Integrating With HubSpot I: Foundations,credential,IT,API/integration,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-018,International,HubSpot Academy,Marketing Hub Software Certification,credential,IT,MarTech,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-010,International,HubSpot Academy,Revenue Operations Certification,credential,IT,RevOps,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-011,International,HubSpot Academy,Sales Enablement Certification,credential,IT,Sales enablement,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-019,International,HubSpot Academy,Sales Hub Software Certification,credential,IT,Sales tech,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-009,International,HubSpot Academy,SEO Certification,credential,IT,SEO,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-020,International,HubSpot Academy,Service Hub Software Certification,credential,IT,Service tech,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
H-007,International,HubSpot Academy,Social Media Marketing Certification,credential,IT,Social,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://academy.hubspot.com/certification-overview,A,Не начато,Current-catalog signal,2026-08-31,https://academy.hubspot.com/certification-overview,curated,candidate
AI-022,International,IBM SkillsBuild,Enterprise Design Thinking Practitioner,credential,IT,Product/design,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-018,International,IBM SkillsBuild,Information Technology Fundamentals,credential,IT,IT foundations,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-020,International,IBM SkillsBuild,IT Support Technician pathway,credential,IT,IT support,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-021,International,IBM SkillsBuild,Project Management Fundamentals,credential,IT,Project management,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
AI-011,International,IBM SkillsBuild,Software Development Using IBM Granite,credential,IT,AI-assisted development,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31,https://skillsbuild.org/learning-catalog,curated,candidate
